*******************************************************

GPSlogger
Writing to GPSLOG61.TXT
Ready!
$GPGGA,190926.439,,,,,0,00,,,M,0.0,M,,0000*5D
#4128
Pressure,-32655
Temperature,12
Altitude,244
Time,18499
X1,504
X2,322
Y2,334
Z2,338
Time,18525
X1,504
X2,321
Y2,334
Z2,337
Time,18570
X1,504
X2,321
Y2,334
Z2,337
Time,18616
X1,504
X2,321
Y2,334
Z2,337
Time,18662
X1,504
X2,321
Y2,334
Z2,337
Time,18707
X1,504
X2,322
Y2,334
Z2,337
Time,18753
X1,504
X2,322
Y2,334
Z2,337
Time,18799
X1,504
X2,323
Y2,334
Z2,337
Time,18844
X1,504
X2,323
Y2,334
Z2,337
Time,18890
X1,504
X2,322
Y2,333
Z2,337
Time,18936
X1,504
X2,321
Y2,334
Z2,337
Time,18982
X1,504
X2,321
Y2,334
Z2,338
Time,19027
X1,504
X2,321
Y2,334
Z2,338
Time,19074
X1,504
X2,321
Y2,334
Z2,337
Time,19120
X1,504
X2,321
Y2,334
Z2,337
Time,19165
X1,504
X2,321
Y2,334
Z2,337
Time,19211
X1,504
X2,321
Y2,334
Z2,337
Time,19257
X1,504
X2,322
Y2,333
Z2,337
Time,19319
X1,504
X2,322
Y2,334
Z2,337
Time,19350
X1,504
X2,322
Y2,333
Z2,337
Time,19383
Pressure,-32652
Temperature,12
Altitude,244
Time,19474
X1,504
X2,322
Y2,332
Z2,337
Time,19500
X1,504
X2,322
Y2,332
Z2,337
Time,19546
X1,504
X2,322
Y2,332
Z2,337
Time,19591
X1,504
X2,322
Y2,332
Z2,337
Time,19637
X1,504
X2,322
Y2,332
Z2,337
Time,19683
X1,504
X2,322
Y2,331
Z2,337
Time,19728
X1,504
X2,323
Y2,331
Z2,338
Time,19774
X1,504
X2,322
Y2,331
Z2,338
Time,19820
X1,504
X2,323
Y2,330
Z2,338
Time,19865
X1,504
X2,323
Y2,330
Z2,338
Time,19911
X1,504
X2,323
Y2,329
Z2,338
Time,19957
X1,504
X2,323
Y2,329
Z2,337
Time,20002
X1,504
X2,323
Y2,330
Z2,337
Time,20048
X1,504
X2,322
Y2,330
Z2,337
Time,20094
X1,504
X2,322
Y2,329
Z2,336
Time,20140
X1,503
X2,322
Y2,330
Z2,336
Time,20186
X1,504
X2,322
Y2,329
Z2,336
Time,20237
X1,504
X2,322
Y2,329
Z2,336
Time,20285
X1,504
X2,322
Y2,330
Z2,336
Time,20305
X1,504
X2,323
Y2,330
Z2,336
$GPGGA,190942.409,,,,,0,00,,,M,0.0,M,,0000*5C
#20369
Time,20379
Pressure,-32650
Temperature,12
Altitude,244
Time,20477
X1,504
X2,322
Y2,330
Z2,336
Time,20503
X1,504
X2,322
Y2,330
Z2,336
Time,20548
X1,504
X2,322
Y2,330
Z2,336
Time,20594
X1,503
X2,322
Y2,330
Z2,336
Time,20640
X1,504
X2,322
Y2,330
Z2,336
Time,20685
X1,504
X2,322
Y2,330
Z2,336
Time,20746
X1,504
X2,322
Y2,330
Z2,336
Time,20777
X1,504
X2,322
Y2,331
Z2,336
Time,20823
X1,504
X2,322
Y2,331
Z2,336
Time,20869
X1,504
X2,322
Y2,331
Z2,336
Time,20915
X1,504
X2,322
Y2,331
Z2,336
Time,20960
X1,504
X2,322
Y2,331
Z2,337
Time,21006
X1,504
X2,322
Y2,331
Z2,337
Time,21052
X1,504
X2,323
Y2,331
Z2,338
Time,21098
X1,504
X2,323
Y2,331
Z2,337
Time,21143
X1,504
X2,322
Y2,331
Z2,337
Time,21189
X1,504
X2,322
Y2,331
Z2,337
Time,21245
X1,504
X2,322
Y2,332
Z2,336
Time,21268
X1,504
X2,322
Y2,332
Z2,336
Time,21288
X1,504
X2,323
Y2,332
Z2,337
Time,21335
Pressure,-32651
Temperature,13
Altitude,244
Time,21426
X1,504
X2,322
Y2,332
Z2,338
Time,21451
X1,504
X2,322
Y2,331
Z2,338
Time,21497
X1,504
X2,322
Y2,331
Z2,337
Time,21542
X1,504
X2,322
Y2,332
Z2,337
Time,21588
X1,504
X2,322
Y2,332
Z2,336
Time,21635
X1,503
X2,322
Y2,332
Z2,337
Time,21680
X1,504
X2,322
Y2,332
Z2,337
Time,21726
X1,504
X2,321
Y2,333
Z2,337
Time,21772
X1,504
X2,321
Y2,333
Z2,336
Time,21818
X1,504
X2,322
Y2,333
Z2,336
Time,21863
X1,504
X2,322
Y2,331
Z2,337
Time,21909
X1,504
X2,322
Y2,331
Z2,337
Time,21955
X1,504
X2,322
Y2,330
Z2,337
Time,22000
X1,504
X2,322
Y2,330
Z2,337
Time,22062
X1,504
X2,323
Y2,331
Z2,336
Time,22092
X1,504
X2,323
Y2,331
Z2,337
Time,22137
X1,504
X2,322
Y2,332
Z2,338
Time,22198
X1,504
X2,321
Y2,333
Z2,337
Time,22228
X1,504
X2,321
Y2,332
Z2,336
Time,22245
X1,503
X2,321
Y2,332
Z2,336
~$GPGGA,190946.424,,,,,0,00,,,M,0.0,M,,0000*57
#23149
Time,23150
Pressure,-32645
Temperature,13
Altitude,244
Time,23241
X1,504
X2,322
Y2,332
Z2,338
Time,23267
X1,504
X2,322
Y2,332
Z2,337
Time,23313
X1,504
X2,322
Y2,332
Z2,337
Time,23358
X1,504
X2,322
Y2,333
Z2,338
Time,23404
X1,504
X2,322
Y2,333
Z2,338
Time,23450
X1,504
X2,322
Y2,333
Z2,337
Time,23496
X1,504
X2,322
Y2,333
Z2,337
Time,23541
X1,504
X2,322
Y2,333
Z2,338
Time,23587
X1,504
X2,322
Y2,333
Z2,337
Time,23633
X1,504
X2,323
Y2,333
Z2,338
Time,23678
X1,504
X2,322
Y2,333
Z2,338
Time,23725
X1,504
X2,322
Y2,333
Z2,338
Time,23771
X1,504
X2,322
Y2,333
Z2,338
Time,23816
X1,504
X2,322
Y2,333
Z2,337
Time,23862
X1,504
X2,322
Y2,332
Z2,337
Time,23908
X1,504
X2,321
Y2,333
Z2,339
Time,23953
X1,503
X2,321
Y2,332
Z2,338
Time,23999
X1,504
X2,321
Y2,332
Z2,337
Time,24045
X1,504
X2,322
Y2,333
Z2,338
Time,24103
X1,504
X2,322
Y2,333
Z2,337
Time,24129
Pressure,-32653
Temperature,13
Altitude,244
Time,24237
X1,504
X2,322
Y2,333
Z2,337
Time,24255
X1,504
X2,322
Y2,333
Z2,337
Time,24293
X1,504
X2,322
Y2,333
Z2,337
Time,24338
X1,503
X2,322
Y2,333
Z2,337
Time,24384
X1,504
X2,322
Y2,333
Z2,337
Time,24430
X1,504
X2,322
Y2,333
Z2,337
Time,24475
X1,504
X2,322
Y2,333
Z2,338
Time,24521
X1,504
X2,322
Y2,332
Z2,337
Time,24567
X1,504
X2,322
Y2,332
Z2,337
Time,24612
X1,503
X2,322
Y2,333
Z2,337
Time,24657
X1,504
X2,322
Y2,334
Z2,338
Time,24704
X1,504
X2,322
Y2,334
Z2,337
Time,24749
X1,504
X2,322
Y2,334
Z2,337
Time,24795
X1,504
X2,322
Y2,334
Z2,337
Time,24841
X1,503
X2,322
Y2,333
Z2,337
Time,24886
X1,503
X2,321
Y2,334
Z2,337
Time,24932
X1,504
X2,321
Y2,333
Z2,337
Time,24978
X1,503
X2,322
Y2,333
Z2,337
Time,25040
X1,504
X2,322
Y2,333
Z2,337
Time,25068
X1,504
X2,322
Y2,333
Z2,337
$GPGGA,190947.436,,,,,0,00,,,M,0.0,M,,0000*55
#25117
Time,25127
Pressure,-32656
Temperature,13
Altitude,244
Time,25226
X1,504
X2,322
Y2,334
Z2,336
Time,25251
X1,504
X2,322
Y2,333
Z2,337
Time,25297
X1,504
X2,322
Y2,333
Z2,337
Time,25342
X1,503
X2,322
Y2,333
Z2,337
Time,25389
X1,504
X2,322
Y2,333
Z2,336
Time,25435
X1,504
X2,322
Y2,333
Z2,337
Time,25481
X1,504
X2,322
Y2,333
Z2,337
Time,25526
X1,504
X2,322
Y2,332
Z2,336
Time,25572
X1,504
X2,322
Y2,333
Z2,337
Time,25618
X1,504
X2,322
Y2,333
Z2,338
Time,25678
X1,504
X2,321
Y2,332
Z2,338
Time,25709
X1,504
X2,321
Y2,333
Z2,338
Time,25755
X1,504
X2,321
Y2,332
Z2,337
Time,25800
X1,504
X2,322
Y2,333
Z2,337
Time,25846
X1,504
X2,322
Y2,333
Z2,337
Time,25892
X1,504
X2,322
Y2,333
Z2,337
Time,25937
X1,503
X2,321
Y2,334
Z2,338
Time,25999
X1,504
X2,321
Y2,333
Z2,337
Time,26024
X1,504
X2,321
Y2,333
Z2,337
Time,26041
X1,504
X2,321
Y2,333
Z2,337
Time,26086
Pressure,-32653
Temperature,13
Altitude,244
Time,26177
X1,504
X2,322
Y2,334
Z2,336
Time,26207
X1,504
X2,322
Y2,334
Z2,336
Time,26248
X1,504
X2,322
Y2,334
Z2,336
Time,26294
X1,504
X2,322
Y2,333
Z2,336
Time,26340
X1,503
X2,322
Y2,334
Z2,337
Time,26385
X1,503
X2,321
Y2,334
Z2,337
Time,26431
X1,504
X2,322
Y2,333
Z2,337
Time,26477
X1,504
X2,322
Y2,334
Z2,337
Time,26522
X1,504
X2,322
Y2,334
Z2,337
Time,26568
X1,503
X2,322
Y2,334
Z2,336
Time,26614
X1,504
X2,322
Y2,334
Z2,337
Time,26660
X1,504
X2,322
Y2,334
Z2,337
Time,26705
X1,504
X2,322
Y2,334
Z2,337
Time,26757
X1,504
X2,322
Y2,334
Z2,338
Time,26798
X1,504
X2,322
Y2,334
Z2,338
Time,26843
X1,504
X2,322
Y2,334
Z2,337
Time,26889
X1,504
X2,322
Y2,334
Z2,338
Time,26951
X1,504
X2,322
Y2,333
Z2,337
Time,26996
X1,504
X2,322
Y2,333
Z2,336
Time,27013
X1,504
X2,322
Y2,334
Z2,337
~$GPGGA,190951.414,,,,,0,00,,,M,0.0,M,,0000*52
#27929
Time,27929
Pressure,-32657
Temperature,13
Altitude,244
Time,28020
X1,504
X2,321
Y2,334
Z2,337
Time,28046
X1,503
X2,322
Y2,334
Z2,337
Time,28092
X1,504
X2,322
Y2,334
Z2,337
Time,28138
X1,504
X2,322
Y2,334
Z2,337
Time,28183
X1,504
X2,322
Y2,334
Z2,336
Time,28229
X1,504
X2,322
Y2,334
Z2,336
Time,28275
X1,504
X2,322
Y2,334
Z2,336
Time,28320
X1,504
X2,322
Y2,333
Z2,337
Time,28366
X1,504
X2,322
Y2,333
Z2,338
Time,28412
X1,504
X2,321
Y2,334
Z2,337
Time,28457
X1,504
X2,321
Y2,334
Z2,336
Time,28504
X1,504
X2,321
Y2,334
Z2,337
Time,28550
X1,504
X2,322
Y2,334
Z2,336
Time,28596
X1,504
X2,322
Y2,334
Z2,337
Time,28641
X1,504
X2,322
Y2,334
Z2,337
Time,28687
X1,504
X2,322
Y2,334
Z2,337
Time,28733
X1,504
X2,322
Y2,334
Z2,337
Time,28778
X1,504
X2,322
Y2,334
Z2,337
Time,28833
X1,504
X2,321
Y2,334
Z2,337
Time,28880
X1,503
X2,321
Y2,333
Z2,337
Time,28898
Pressure,-32647
Temperature,13
Altitude,244
Time,28988
X1,503
X2,322
Y2,333
Z2,337
Time,29014
X1,504
X2,322
Y2,333
Z2,337
Time,29060
X1,504
X2,322
Y2,333
Z2,337
Time,29106
X1,504
X2,322
Y2,333
Z2,337
Time,29166
X1,504
X2,322
Y2,333
Z2,337
Time,29202
X1,504
X2,321
Y2,333
Z2,337
Time,29243
X1,504
X2,321
Y2,333
Z2,337
Time,29289
X1,504
X2,321
Y2,333
Z2,337
Time,29334
X1,504
X2,322
Y2,333
Z2,336
Time,29380
X1,504
X2,322
Y2,334
Z2,337
Time,29426
X1,503
X2,322
Y2,333
Z2,336
Time,29471
X1,503
X2,322
Y2,334
Z2,337
Time,29517
X1,504
X2,322
Y2,334
Z2,337
Time,29563
X1,503
X2,322
Y2,334
Z2,337
Time,29608
X1,504
X2,322
Y2,334
Z2,337
Time,29655
X1,504
X2,322
Y2,334
Z2,337
Time,29701
X1,504
X2,322
Y2,334
Z2,337
Time,29746
X1,504
X2,322
Y2,334
Z2,338
Time,29803
X1,504
X2,322
Y2,334
Z2,337
Time,29848
X1,504
X2,322
Y2,334
Z2,337
$GPGGA,190952.414,,,,,0,00,,,M,0.0,M,,0000*51
#29887
Time,29897
Pressure,-32649
Temperature,13
Altitude,244
Time,29996
X1,504
X2,322
Y2,334
Z2,337
Time,30021
X1,504
X2,322
Y2,334
Z2,337
Time,30067
X1,503
X2,321
Y2,335
Z2,338
Time,30112
X1,504
X2,321
Y2,334
Z2,337
Time,30158
X1,504
X2,321
Y2,334
Z2,337
Time,30204
X1,504
X2,322
Y2,334
Z2,337
Time,30255
X1,504
X2,322
Y2,334
Z2,337
Time,30296
X1,504
X2,322
Y2,334
Z2,337
Time,30342
X1,504
X2,322
Y2,334
Z2,337
Time,30387
